Task,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,signal_intensity,constant Value,response,time_response,signal_on_stimuluspos1,signal_on_stimuluspos2,stimulus_name_pos1,stimulus_name_pos2,random_intensity,session,participant,date,expName,
Yes-No Task,30,0,30,0,7.0,-1,False Alarm,0.4002141000019037,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_31,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,31,0,31,0,7.0,-1,Hit,0.3335815999962506,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_32,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,32,0,32,0,7.0,-1,Hit,0.36725789999763947,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_33,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,33,0,33,0,7.0,-1,Hit,0.40071270000044024,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_34,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,34,0,34,0,7.0,-1,Hit,0.43400289999408415,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_35,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,35,0,35,0,7.0,-1,Correct Rejection,0.35219100000540493,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_36,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,36,0,36,0,7.0,-1,Correct Rejection,0.35068129999854136,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_37,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,37,0,37,0,7.0,-1,Hit,0.35198839999793563,True,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_38,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,38,0,38,0,7.0,-1,Correct Rejection,0.34927049999532755,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_39,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
Yes-No Task,39,0,39,0,7.0,-1,Correct Rejection,0.4680067000008421,False,-1,stimulus_MaxA_Yes-No Task_2020_Feb_02_1928_40,-1,False,8,MaxA,2020_Feb_02_1928,Yes-No Task,
